hits,bytes/GB,spatial_id,product,date,Lat,Lon
21126,2.13,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
21256,2.1,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
6634,2.24,"18,-27",geomedian-australia/v2.1.0,2019-08-01,-23.3,150.3
3490,2.22,51JTG,L2/sentinel-2-nrt,2019-08-01,-30.3,120.5
21253,2.02,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
6634,2.15,"18,-27",geomedian-australia/v2.1.0,2019-08-01,-23.3,150.3
9561,2.1,"19,-26",geomedian-australia/v2.1.0,2019-08-01,-22.3,151.2
9558,2.09,"19,-26",geomedian-australia/v2.1.0,2019-08-01,-22.3,151.2
9558,2.06,"19,-26",geomedian-australia/v2.1.0,2019-08-01,-22.3,151.2
14568,1.99,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
6634,2.07,"18,-27",geomedian-australia/v2.1.0,2019-08-01,-23.3,150.3
3338,2.1,50JQM,L2/sentinel-2-nrt,2019-08-01,-30.3,119.6
5320,2.06,54HUF,L2/sentinel-2-nrt,2019-08-01,-35.7,139.4
14613,1.97,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
4450,2.06,54HUF,L2/sentinel-2-nrt,2019-08-01,-35.7,139.4
13732,1.91,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3468,2.01,51JTG,L2/sentinel-2-nrt,2019-08-01,-30.3,120.5
14611,1.89,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3358,2.0,50JQM,L2/sentinel-2-nrt,2019-08-01,-30.3,119.6
14420,1.87,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
14479,1.84,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
104728,0.9, ,projects/WaterBodies,2019-08-01, , 
14466,1.77,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3338,1.83,50JQM,L2/sentinel-2-nrt,2019-08-01,-30.3,119.6
13797,1.47,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3338,1.57,54HUF,L2/sentinel-2-nrt,2019-08-01,-35.7,139.4
1850,1.57,56JNQ,L2/sentinel-2-nrt,2019-08-01,-27.6,153.6
1368,1.57,55KFP,L2/sentinel-2-nrt,2019-08-01,-24.0,148.5
3509,1.53,"17,-38",bare-earth/summary,2019-08-01,-33.2,151.0
1369,1.55,55KFP,L2/sentinel-2-nrt,2019-08-01,-24.0,148.5
14381,1.41,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2278,1.53,54HVG,L2/sentinel-2-nrt,2019-08-01,-34.8,140.5
13795,1.41,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
14387,1.39,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3509,1.5,"17,-38",bare-earth/summary,2019-08-01,-33.2,151.0
2242,1.51,56JNQ,L2/sentinel-2-nrt,2019-08-01,-27.6,153.6
1388,1.51,55KFP,L2/sentinel-2-nrt,2019-08-01,-24.0,148.5
1404,1.51,55KFP,L2/sentinel-2-nrt,2019-08-01,-24.0,148.5
13582,1.35,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2146,1.47,56HLH,L2/sentinel-2-nrt,2019-08-01,-33.9,151.4
2164,1.46,56HLH,L2/sentinel-2-nrt,2019-08-01,-33.9,151.4
2160,1.46,56HLH,L2/sentinel-2-nrt,2019-08-01,-33.9,151.4
14379,1.34,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3078,1.44,56JNN,L2/sentinel-2-nrt,2019-08-01,-29.4,153.6
10135,1.37,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
9973,1.35,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
3509,1.4,"17,-38",bare-earth/summary,2019-08-01,-33.2,151.0
9977,1.34,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2376,1.41,54HVG,L2/sentinel-2-nrt,2019-08-01,-34.8,140.5
9971,1.33,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
9979,1.32,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
9977,1.32,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
10298,1.31,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
10302,1.3,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
2187,1.38,51JTG,L2/sentinel-2-nrt,2019-08-01,-30.3,120.5
10297,1.29,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
10317,1.28,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
10314,1.28,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
10323,1.28,53KNV,L2/sentinel-2-nrt,2019-08-01,-18.6,135.5
