hits,bytes,spatial_id,product,folder,date,Lat,Lon
1386,1134821244,55HFB,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-19/S2B_OPER_MSI_ARD_TL_EPAE_20190619T011513_A011925_T55HFB_N02.07/NBART/NBART_B04.TIF,2019-07-02T16:18:35,-34.8,148.7
2762,1105459735,53LPG,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-13/S2B_OPER_MSI_ARD_TL_EPAE_20190613T023435_A011840_T53LPG_N02.07/NBART/NBART_B02.TIF,2019-07-02T16:18:35,-12.3,136.4
1386,1101930328,55HFB,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-19/S2B_OPER_MSI_ARD_TL_EPAE_20190619T011513_A011925_T55HFB_N02.07/NBART/NBART_B03.TIF,2019-07-02T16:18:35,-34.8,148.7
1387,1073232052,55HFB,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-19/S2B_OPER_MSI_ARD_TL_EPAE_20190619T011513_A011925_T55HFB_N02.07/NBART/NBART_B02.TIF,2019-07-02T16:18:35,-34.8,148.7
1418,1022424647,56JMQ,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-19/S2B_OPER_MSI_ARD_TL_EPAE_20190619T011513_A011925_T56JMQ_N02.07/NBART/NBART_B02.TIF,2019-07-02T16:18:35,-27.6,152.5
1235,925062543,55JGG,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-17/S2A_OPER_MSI_ARD_TL_SGS__20190617T013457_A020805_T55JGG_N02.07/NBART/NBART_B04.TIF,2019-07-02T16:18:35,-30.3,149.6
1580,909348565,55HFE,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-17/S2A_OPER_MSI_ARD_TL_SGS__20190617T013457_A020805_T55HFE_N02.07/NBART/NBART_B03.TIF,2019-07-02T16:18:35,-32.1,148.6
1235,875909672,55JGG,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-17/S2A_OPER_MSI_ARD_TL_SGS__20190617T013457_A020805_T55JGG_N02.07/NBART/NBART_B03.TIF,2019-07-02T16:18:35,-30.3,149.6
1229,841112659,55JGG,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-17/S2A_OPER_MSI_ARD_TL_SGS__20190617T013457_A020805_T55JGG_N02.07/NBART/NBART_B02.TIF,2019-07-02T16:18:35,-30.3,149.6
1381,765790718,55HFE,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-06-17/S2A_OPER_MSI_ARD_TL_SGS__20190617T013457_A020805_T55HFE_N02.07/NBART/NBART_B04.TIF,2019-07-02T16:18:35,-32.1,148.6
1393,720086891,52KHG,L2/sentinel-2-nrt,L2/sentinel-2-nrt/S2MSIARD/2019-05-17/S2B_OPER_MSI_ARD_TL_SGS__20190517T025326_A011454_T52KHG_N02.07/NBART/NBART_B12.TIF,2019-07-02T16:18:35,-16.8,132.3
